,Date,Close,pct_change,category
0,2025-01-02,109.38999938964844,,
1,2025-01-03,108.94999694824219,-0.00402232785319756,0
2,2025-01-06,108.26000213623047,-0.006333132917291429,-1
3,2025-01-07,108.54000091552734,0.002586354828854942,0
4,2025-01-08,109.08999633789062,0.005067214093643857,1
5,2025-01-09,109.18000030517578,0.0008250432698373444,0
6,2025-01-10,109.6500015258789,0.004304828900800528,0
7,2025-01-13,109.95999908447266,0.002827155077791632,0
8,2025-01-14,109.2699966430664,-0.006275031349137983,-1
9,2025-01-15,109.08999633789062,-0.001647298533043462,0
10,2025-01-16,108.95999908447266,-0.0011916514600964767,0
11,2025-01-17,109.3499984741211,0.003579289582648526,0
12,2025-01-21,108.05999755859375,-0.011796990704418087,-1
13,2025-01-22,108.16999816894531,0.0010179586603442647,0
14,2025-01-23,108.05000305175781,-0.001109319767206518,0
15,2025-01-24,107.44000244140625,-0.0056455399641160975,-1
16,2025-01-27,107.33999633789062,-0.0009308088350999943,0
17,2025-01-28,107.87000274658203,0.004937641389729741,0
18,2025-01-29,108.0,0.0012051288598124987,0
19,2025-01-30,107.80000305175781,-0.0018518235948350448,0
20,2025-01-31,108.37000274658203,0.005287566592651727,1
21,2025-02-03,108.98999786376953,0.005721095335185389,1
22,2025-02-04,107.95999908447266,-0.0094503972794302,-1
23,2025-02-05,107.58000183105469,-0.00351979674546532,0
24,2025-02-06,107.69000244140625,0.0010225005435891,0
25,2025-02-07,108.04000091552734,0.0032500554014893712,0
26,2025-02-10,108.31999969482422,0.0025916214080357047,0
27,2025-02-11,107.95999908447266,-0.00332349161157508,0
28,2025-02-12,107.94000244140625,-0.0001852227050387345,0
29,2025-02-13,107.30999755859375,-0.005836620979830842,-1
30,2025-02-14,106.56999969482422,-0.006895889298343061,-1
31,2025-02-18,107.05000305175781,0.004504113336850413,0
32,2025-02-19,107.16999816894531,0.0011209258642381759,0
33,2025-02-20,106.33999633789062,-0.007744721892653739,-1
34,2025-02-21,106.61000061035156,0.002539066031213899,0
35,2025-02-24,106.5999984741211,-9.381986842893486e-05,0
36,2025-02-25,106.30999755859375,-0.002720458908803347,0
37,2025-02-26,106.41999816894531,0.0010347155759355964,0
38,2025-02-27,107.23999786376953,0.007705315814067637,1
39,2025-02-28,107.61000061035156,0.0034502308276065374,0
40,2025-03-03,106.75,-0.007991827947901986,-1
41,2025-03-04,105.73999786376953,-0.009461378325343994,-1
42,2025-03-05,105.73999786376953,0.0,0
43,2025-03-06,104.05999755859375,-0.01588803044369469,-1
44,2025-03-07,103.83999633789062,-0.002114176685226732,0
45,2025-03-10,103.91000366210938,0.0006741845790416701,0
46,2025-03-11,103.44000244140625,-0.004523156617638691,0
47,2025-03-12,103.61000061035156,0.001643447070117876,0
48,2025-03-13,103.83000183105469,0.0021233589364648697,0
49,2025-03-14,103.72000122070312,-0.0010594299182480338,0
50,2025-03-17,103.37000274658203,-0.0033744549749507025,0
51,2025-03-18,103.23999786376953,-0.00125766546733308,0
52,2025-03-19,103.43000030517578,0.001840395634809866,0
53,2025-03-20,103.8499984741211,0.004060699678101853,0
54,2025-03-21,104.08999633789062,0.0023110049811829736,0
55,2025-03-24,104.26000213623047,0.0016332577992219655,0
56,2025-03-25,104.18000030517578,-0.0007673300346776601,0
57,2025-03-26,104.55000305175781,0.0035515717555978377,0
58,2025-03-27,104.06999969482422,-0.0045911367089674915,0
59,2025-03-28,104.04000091552734,-0.0002882557834615884,0
60,2025-03-31,104.20999908447266,0.0016339693142000122,0
61,2025-04-01,104.26000213623047,0.00047982969194038105,0
62,2025-04-02,103.80999755859375,-0.004316176562597085,0
63,2025-04-03,102.06999969482422,-0.016761370818715426,-1
64,2025-04-04,103.0199966430664,0.009307308230455114,1
65,2025-04-07,103.26000213623047,0.002329698126428914,0
66,2025-04-08,102.95999908447266,-0.0029053171174838743,0
67,2025-04-09,102.9000015258789,-0.000582726875750339,0
68,2025-04-10,100.87000274658203,-0.019727879000918547,-1
69,2025-04-11,99.77999877929688,-0.010806026941662661,-1
70,2025-04-14,99.63999938964844,-0.0014030806911322635,0
71,2025-04-15,100.22000122070312,0.005820973851942357,1
72,2025-04-16,99.37999725341797,-0.008381600050426208,-1
73,2025-04-17,99.37999725341797,0.0,0
74,2025-04-21,98.27999877929688,-0.011068610429884718,-1
75,2025-04-22,98.91999816894531,0.006512000382556504,1
76,2025-04-23,99.83999633789062,0.00930042646557716,1
77,2025-04-24,99.29000091552734,-0.005508768454897783,-1
78,2025-04-25,99.47000122070312,0.0018128744437106992,0
79,2025-04-28,99.01000213623047,-0.004624500641676077,0
80,2025-04-29,99.23999786376953,0.002322954475070249,0
81,2025-04-30,99.47000122070312,0.002317647741683082,0
82,2025-05-01,100.25,0.00784154790112268,1
83,2025-05-02,100.0,-0.0024937655860348684,0
84,2025-05-05,99.83000183105469,-0.0016999816894531783,0
85,2025-05-06,99.23999786376953,-0.005910086712045071,-1
86,2025-05-07,99.61000061035156,0.003728363105065302,0
87,2025-05-08,100.63999938964844,0.01034031495819332,1
88,2025-05-09,100.33999633789062,-0.0029809524401553933,0
89,2025-05-12,101.79000091552734,0.014450913200693138,1
90,2025-05-13,101.0,-0.007761085651064481,-1
91,2025-05-14,101.04000091552734,0.0003960486685876674,0
92,2025-05-15,100.87999725341797,-0.0015835675045484665,0
93,2025-05-16,101.08999633789062,0.0020816721866587784,0
94,2025-05-19,100.43000030517578,-0.006528796682401916,-1
95,2025-05-20,100.12000274658203,-0.003086702754672488,0
96,2025-05-21,99.55999755859375,-0.005593339718594881,-1
97,2025-05-22,99.95999908447266,0.004017693206987971,0
98,2025-05-23,99.11000061035156,-0.008503386173531191,-1
99,2025-05-26,98.93000030517578,-0.001816166926317031,0
100,2025-05-27,99.5199966430664,0.005963775761352652,1
101,2025-05-28,99.87999725341797,0.00361736959902359,0
102,2025-05-29,99.27999877929688,-0.0060071935384495845,-1
103,2025-05-30,99.33000183105469,0.0005036568530683017,0
104,2025-06-02,98.69999694824219,-0.006342543755149088,-1
105,2025-06-03,99.25,0.00557247283448481,1
106,2025-06-04,98.79000091552734,-0.0046347514808328105,0
107,2025-06-05,98.73999786376953,-0.0005061549883026428,0
108,2025-06-06,99.19000244140625,0.004557469995670749,0
109,2025-06-09,98.94000244140625,-0.0025204153024159792,0
110,2025-06-10,99.05000305175781,0.0011117910616256221,0
111,2025-06-11,98.62999725341797,-0.004240341094390199,0
112,2025-06-12,97.91999816894531,-0.007198612027215168,-1
113,2025-06-13,98.18000030517578,0.002655250623900818,0
114,2025-06-16,98.0,-0.0018333703872099871,0
115,2025-06-17,98.81999969482422,0.008367343824736917,1
116,2025-06-18,98.91000366210938,0.0009107869617801523,0
117,2025-06-20,98.70999908447266,-0.0020220864445619213,0
118,2025-06-23,98.41999816894531,-0.002937908197924055,0
119,2025-06-24,97.86000061035156,-0.005689875726602511,-1
120,2025-06-25,97.68000030517578,-0.0018393654614052846,0
121,2025-06-26,97.1500015258789,-0.005425867911967974,-1
122,2025-06-27,97.4000015258789,0.0025733401551559787,0
123,2025-06-30,96.87999725341797,-0.005338852816370587,-1
124,2025-07-01,96.81999969482422,-0.0006192976909031866,0
125,2025-07-02,96.77999877929688,-0.000413147238725764,0
126,2025-07-03,97.18000030517578,0.004133101166813313,0
127,2025-07-07,97.4800033569336,0.003087086343030565,0
128,2025-07-08,97.51000213623047,0.00030774290381407887,0
129,2025-07-09,97.47000122070312,-0.0004102237170650058,0
130,2025-07-10,97.6500015258789,0.001846725176172015,0
131,2025-07-11,97.8499984741211,0.0020480997963854275,0
132,2025-07-14,98.08000183105469,0.0023505708791036195,0
133,2025-07-15,98.62000274658203,0.005505718856505526,1
134,2025-07-16,98.38999938964844,-0.0023322181152704013,0
135,2025-07-17,98.7300033569336,0.003455676078812253,0
136,2025-07-18,98.4800033569336,-0.0025321583257339464,0
137,2025-07-21,97.8499984741211,-0.006397287381572192,-1
138,2025-07-22,97.38999938964844,-0.004701063787898918,0
139,2025-07-23,97.20999908447266,-0.0018482421840421148,0
140,2025-07-24,97.37999725341797,0.0017487724570142138,0
141,2025-07-25,97.6500015258789,0.002772687205548907,0
142,2025-07-28,98.66000366210938,0.010343083670744324,1
143,2025-07-29,98.91000366210938,0.0025339549029026465,0
144,2025-07-30,99.94000244140625,0.010413494501683607,1
145,2025-07-31,100.02999877929688,0.0009005036591167581,0
146,2025-08-01,98.69000244140625,-0.013395944759003298,-1
147,2025-08-04,98.77999877929688,0.0009119093693816804,0
148,2025-08-05,98.77999877929688,0.0,0
149,2025-08-06,98.18000030517578,-0.0060740886974666175,-1
150,2025-08-07,98.4000015258789,0.002240794663060486,0
151,2025-08-08,98.18000030517578,-0.002235784728572998,0
152,2025-08-11,98.5199966430664,0.003462989782377246,0
153,2025-08-12,98.0999984741211,-0.0042630753477077565,0
154,2025-08-13,97.83999633789062,-0.0026503785960716453,0
155,2025-08-14,98.25,0.004190552713160711,0
156,2025-08-15,97.8499984741211,-0.004071262349912508,0
157,2025-08-18,98.16999816894531,0.0032703086337690923,0
158,2025-08-19,98.2699966430664,0.0010186256084980805,0
159,2025-08-20,98.22000122070312,-0.0005087557145735389,0
160,2025-08-21,98.62000274658203,0.00407250581253904,0
161,2025-08-22,97.72000122070312,-0.009125953161769673,-1
162,2025-08-25,98.43000030517578,0.0072656475194787795,1
163,2025-08-26,98.2300033569336,-0.0020318698325928475,0
164,2025-08-27,98.2300033569336,0.0,0
165,2025-08-28,97.80999755859375,-0.004275738409716734,0
166,2025-08-29,97.7699966430664,-0.00040896550992530756,0
167,2025-09-02,98.4000015258789,0.0064437445478544575,1
168,2025-09-03,98.13999938964844,-0.0026422980914495575,0
169,2025-09-04,98.3499984741211,0.002139790969825528,0
170,2025-09-05,97.7699966430664,-0.005897324250668912,-1
171,2025-09-08,97.44999694824219,-0.0032729846150292286,0
172,2025-09-09,97.79000091552734,0.0034890095221422612,0
173,2025-09-10,97.77999877929688,-0.00010228178890303585,0
174,2025-09-11,97.54000091552734,-0.0024544678540162623,0
175,2025-09-12,97.55000305175781,0.00010254394234765485,0
176,2025-09-15,97.30000305175781,-0.002562788233510971,0
177,2025-09-16,96.62999725341797,-0.006885979211978421,-1
178,2025-09-17,96.87000274658203,0.0024837576320595467,0
179,2025-09-18,97.3499984741211,0.0049550502108972605,0
180,2025-09-19,97.63999938964844,0.0029789514131779438,0
181,2025-09-22,97.33000183105469,-0.0031749033237562507,0
182,2025-09-23,97.26000213623047,-0.0007191995634164838,0
183,2025-09-24,97.87000274658203,0.006271854790802278,1
184,2025-09-25,98.55000305175781,0.006947995157786213,1
185,2025-09-26,98.1500015258789,-0.004058868731529386,0
186,2025-09-29,97.91000366210938,-0.0024452150793523586,0
187,2025-09-30,97.7699966430664,-0.0014299562231264717,0
188,2025-10-01,97.70999908447266,-0.0006136602296590299,0
189,2025-10-02,97.8499984741211,0.0014328051474794545,0
190,2025-10-03,97.72000122070312,-0.0013285360801753576,0
191,2025-10-06,98.11000061035156,0.003990988382896354,0
192,2025-10-07,98.58000183105469,0.004790553641618622,0
193,2025-10-08,98.8499984741211,0.0027388581664780087,0
194,2025-10-09,99.54000091552734,0.006980297946963532,1
195,2025-10-10,98.9800033569336,-0.005625854464970104,-1
196,2025-10-13,99.2699966430664,0.002929816895308246,0
197,2025-10-14,99.05000305175781,-0.0022161136168826756,0
198,2025-10-15,98.79000091552734,-0.0026249583868726,0
199,2025-10-16,98.38999938964844,-0.0040490082211958045,0
200,2025-10-17,98.43000030517578,0.00040655468823547203,0
201,2025-10-20,98.58999633789062,0.0016254803639010884,0
202,2025-10-21,98.93000030517578,0.0034486659895989202,0
203,2025-10-22,98.9000015258789,-0.0003032323784932789,0
204,2025-10-23,98.94000244140625,0.000404458189182888,0
205,2025-10-24,98.94999694824219,0.00010101583373067768,0
206,2025-10-27,98.77999877929688,-0.0017180209619838127,0
207,2025-10-28,98.69000244140625,-0.0009110785483172901,0
208,2025-10-29,99.22000122070312,0.00537033910412088,1
209,2025-10-30,99.52999877929688,0.0031243454422480443,0
210,2025-10-31,99.80000305175781,0.0027127928842807236,0
211,2025-11-03,99.87000274658203,0.0007013997262896865,0
212,2025-11-04,100.22000122070312,0.0035045405476679115,0
213,2025-11-05,100.19999694824219,-0.0001996035942654073,0
214,2025-11-06,99.7300033569336,-0.004690554946337633,0
215,2025-11-07,99.5999984741211,-0.0013035684190966235,0
216,2025-11-10,99.62000274658203,0.00020084611212256576,0
217,2025-11-11,99.45999908447266,-0.0016061399086325645,0
218,2025-11-12,99.4800033569336,0.00020112882209000205,0
219,2025-11-13,99.18000030517578,-0.0030157121193633563,0
220,2025-11-14,99.2699966430664,0.0009074040896723812,0
221,2025-11-17,99.58999633789062,0.0032235288168167564,0
222,2025-11-18,99.55000305175781,-0.00040157935137508094,0
223,2025-11-19,100.2300033569336,0.0068307411786039385,1
224,2025-11-20,100.16000366210938,-0.000698390626357015,0
225,2025-11-21,100.18000030517578,0.0001996469881717644,0
226,2025-11-24,100.13999938964844,-0.0003992904312786205,0
227,2025-11-25,99.66000366210938,-0.004793246759183467,0
228,2025-11-26,99.5999984741211,-0.000602098994414324,0
229,2025-11-28,99.45999908447266,-0.0014056163834662572,0
230,2025-12-01,99.41000366210938,-0.0005026686388848178,0
231,2025-12-02,99.36000061035156,-0.0005029981884697721,0
232,2025-12-03,98.8499984741211,-0.005132871709919606,-1
233,2025-12-04,98.98999786376953,0.0014162811513354079,0
234,2025-12-05,98.98999786376953,0.0,0
235,2025-12-08,99.08999633789062,0.0010101876581380953,0
236,2025-12-09,99.22000122070312,0.0013119879666680934,0
237,2025-12-10,98.79000091552734,-0.004333806691045106,0
238,2025-12-11,98.3499984741211,-0.004453916766156141,0
239,2025-12-12,98.4000015258789,0.0005084194461981717,0
240,2025-12-15,98.1500015258789,-0.0025406503671064895,0
241,2025-12-16,98.1500015258789,0.0,0
242,2025-12-17,98.37000274658203,0.002241479544400349,0
243,2025-12-18,98.43000030517578,0.0006099172198694713,0
244,2025-12-19,98.5999984741211,0.0017270971087903764,0
245,2025-12-22,98.29000091552734,-0.0031439915151226794,0
246,2025-12-23,97.94000244140625,-0.0035608756827857357,0
247,2025-12-24,97.9800033569336,0.00040842265193208327,0
248,2025-12-26,98.0199966430664,0.0004081780441169691,0
249,2025-12-29,98.04000091552734,0.00020408358647250324,0
250,2025-12-30,98.23999786376953,0.00203995253340028,0
251,2025-12-31,98.27999877929688,0.0004071754519254789,0
252,2026-01-02,98.41999816894531,0.001424495231861167,0
253,2026-01-05,98.2699966430664,-0.0015240960035521889,0
254,2026-01-06,98.58000183105469,0.0031546270334603665,0
255,2026-01-07,98.68000030517578,0.0010143890471057126,0
256,2026-01-08,98.93000030517578,0.0025334414189992494,0
257,2026-01-09,99.12999725341797,0.002021600602701401,0
258,2026-01-12,98.86000061035156,-0.0027236623680739758,0
259,2026-01-13,99.12999725341797,0.0027311009649957363,0
260,2026-01-14,99.12999725341797,0.0,0
261,2026-01-15,99.31999969482422,0.001916699754570983,0
262,2026-01-16,99.38999938964844,0.0007047895191230058,0
263,2026-01-20,98.63999938964844,-0.007546030834145623,-1
264,2026-01-21,98.76000213623047,0.0012165728641988505,0
265,2026-01-22,98.36000061035156,-0.004050238125016814,0
266,2026-01-23,97.5999984741211,-0.007726739848662456,-1
267,2026-01-26,97.04000091552734,-0.005737679993327416,-1
268,2026-01-27,96.22000122070312,-0.008450120435778086,-1
269,2026-01-28,96.44999694824219,0.0023903110020910834,0
270,2026-01-29,96.27999877929688,-0.001762552351728286,0
271,2026-01-30,96.98999786376953,0.007374315470237924,1
272,2026-02-02,97.61000061035156,0.006392440047816805,1
273,2026-02-03,97.44000244140625,-0.0017416060637467368,0
274,2026-02-04,97.62000274658203,0.00184729372604453,0
275,2026-02-05,97.81999969482422,0.002048729180651243,0
276,2026-02-06,97.62999725341797,-0.0019423680433348078,0
277,2026-02-09,96.81999969482422,-0.008296605360863074,-1
278,2026-02-10,96.80000305175781,-0.0002065342194735864,0
279,2026-02-11,96.83000183105469,0.0003099047350323403,0
280,2026-02-12,96.93000030517578,0.001032722010018805,0
281,2026-02-13,96.87999725341797,-0.0005158676529494199,0
282,2026-02-17,97.16000366210938,0.0028902396431635946,0
283,2026-02-18,97.69999694824219,0.005557773423009893,1
284,2026-02-19,97.93000030517578,0.0023541797760284755,0
285,2026-02-20,97.94599914550781,0.00016337016524237136,0
